,review_id,restaurant_id
0,2xlNGuN8naQTHO3_xY0lGw,yDiWYpuzRxcTgSi_O4JZpQ
0,_Dkml_CfMMb_wWeGpFtczg,W6S482dRQ_9nCcLjfv8VNg
0,EmLTCw2p9BhOwnzHFXgGaQ,OlOVRlcEstxKK_6hMjy63A
0,PlYifdeyiixRZkymbUNqVQ,DAcqRGI_u8yNCcUIczfNxA
0,PtUd264rjqWuEzL89nf64w,5IFqqWJTaPNoY2ZgRlX73w
0,jh63cU95B-Kjgyev_a_4oQ,ixsljpxu56VCTtayIELqUg
0,2DUxwJgRW1Ds_EN763CiQQ,ixsljpxu56VCTtayIELqUg
0,lV_V_FklhhmMaWRXAB_tyA,EROSyhoWNCUH53NrDrsHgQ
0,OaYClWZ3UyrAWo60tGCVsg,ggJXlslLYndvE7n3hgJBCQ
0,TM1PkkUDSMpb0ijfePRmBQ,ccEgmgcc5uLJejser0UD0g
0,sw_4E8mRaRFjU-oCcWvfDQ,7O7YHTUB3uqXHsQSLKR0SA
0,_Xc59GTigWeEudLbRulLtw,CKKY7kxtznKVzm9FBzAL4w
0,1WFRWOUQjfl0R2eH6veBnQ,ThZyytdc_kj2uBYFiSao-A
0,F7Ij517v1icGKajQN6IahQ,ThZyytdc_kj2uBYFiSao-A
0,ZLVPEj5TNyYDxRXH8JndKQ,psD0qpCK-iENFO9c8hmnkw
0,jt7r04KKzpy4HKjFiuqBkA,A_-Vv5oKZNqxsV69_7E2KQ
0,50_IPMsBuclmeMme2r69Rw,MZW_eTFYFBvHYg5OFqDRCA
0,BsxM-F-H6Rsq66R739BKxg,uoMWvXch6sWnI9FMsE_-Vg
0,Je-DY6xJb3erto4rAAUAbA,uoMWvXch6sWnI9FMsE_-Vg
0,TUmoUxxqYMhZfnOnB2QWxw,iJKOUYgigs4VYsWny6AtEA
0,CzqjdvdDIscS7zgGVw7Zxg,OlOVRlcEstxKK_6hMjy63A
0,NCFxVrkBeIrd4FaMiOYMjA,Dy91wdWkwtI_qgjAIZ0Niw
0,_CGKxv6za2tCtrKowjnkjQ,1Ye_elsSB-XjKgWAHDwPbw
0,A5DNY8-D--lvnN3kULVWCA,iJKOUYgigs4VYsWny6AtEA
0,xIHgQqnqNXljZiS6qZlMZQ,D392vqhMjDPkHw1U8p66Uw
0,gkS5Repk69a-DP_TMbgB_w,hFa7UxRZgJDQJ3UBhQsu9A
0,_iJVbGplMVHedz4OGhACrw,ixsljpxu56VCTtayIELqUg
0,cIquDyNc744By2bHLxqfIA,7O7YHTUB3uqXHsQSLKR0SA
0,TVLHNezslSkBMLkuJzCf-g,OlOVRlcEstxKK_6hMjy63A
0,vnKQUkXOd1dJqNaE3v4slQ,iJKOUYgigs4VYsWny6AtEA
0,GPq3wEvpcgL8RCNZ48e5dA,uoMWvXch6sWnI9FMsE_-Vg
0,fQbAGJDA1NcY0eV5tVvyZA,sKQ0KYon7eT6xEnCpb18aw
0,SMMcnv0U52M5wHGbSIuLTw,5IFqqWJTaPNoY2ZgRlX73w
0,-K-cKT1vqdxsULnt3NRtRQ,OlOVRlcEstxKK_6hMjy63A
0,lboTi4ugxWmTX1xaQKro8A,xtbAqP_Ftb3kYJ53Hv6H5w
0,Exn5AZNLWc0HRU9gxJHaBg,7Ld1DxAhSlGSateku0iqbg
0,0LdQwsbjC42ZHZG58yL0JA,5RtAJPXFLTzwALIe1mtNuA
0,25vz0UD1XgpTR5equRyUAA,OlOVRlcEstxKK_6hMjy63A
0,u-fVqF3HpFCyzrpeiGJeng,LSxmfbgcZLdQ5ai2vf2nmA
0,c8lthzBWwl5dm5OfwO9bMA,k9W1gDPg4TziOTqY_xjTyQ
0,PAV43QBxO2X8AePfUgscpg,iJKOUYgigs4VYsWny6AtEA
0,QZr0dkTX0k0X6YpQCOgaPQ,MZW_eTFYFBvHYg5OFqDRCA
0,yQ9pbFecfJ4eRXKBZjL95A,uoMWvXch6sWnI9FMsE_-Vg
0,3dQ6ck3RkzDHWEooW-zvWQ,OlOVRlcEstxKK_6hMjy63A
0,OuGlpWIBI_mzcCfwrULuJA,W6S482dRQ_9nCcLjfv8VNg
0,uzlchCYjuV8GkEYeWSYp2Q,_NhT0A3LUEd75L_cEXf2_A
0,hIZK-bcZRf-dFNMOX6DcYw,s-7Q1GAQmB-Qsm_UwviHVA
0,Q-1gmuaJuVLdk6ZwDrRPSw,ScXJHSCceQao6K87VK199Q
0,3ljSS0wDsgOiNNJM56MudQ,ZB2T9dwB4vhHPsJC_4eOnw
0,c8_fVHFkvUoPisI32bvpeA,3zWNxtRhyR4rLPfXyQgSyw
0,XLSnt0_4_sGmkMZUqLVr0w,iJKOUYgigs4VYsWny6AtEA
0,X7aG8rXpeKyWCI2a-Cq6qQ,A_-Vv5oKZNqxsV69_7E2KQ
0,jMbvmLdTYfppyWPpYAqguQ,Dy91wdWkwtI_qgjAIZ0Niw
0,wjfz5EwJP9wqrgaWmz1vcw,W6S482dRQ_9nCcLjfv8VNg
0,1gpg75fdwRnFIfRYvCNHUg,XF86J5bJKkmueBL-PmPbcg
0,OgWFHwwTEEjkA2kDOsfB5g,OlOVRlcEstxKK_6hMjy63A
0,zf41SC8-s0oV9x9BA-UAfw,LSxmfbgcZLdQ5ai2vf2nmA
0,FwNy19SsUVkAEeWFPk5W4g,19fHbf0qzihtEtXQZ2ntww
0,Hn1bILyZiQuxqzBnQovBZg,5IFqqWJTaPNoY2ZgRlX73w
0,eSQATTmmx1j09oMdTjLB5A,MTjS4g__WMgA-PPMjCL4fQ
0,S1iYNFocF8VIrpJKJuaO4g,MZW_eTFYFBvHYg5OFqDRCA
0,vnRINQnMlLLuuHi-f7LXPg,7O7YHTUB3uqXHsQSLKR0SA
0,06tpFl3kflw7uMwm7JcUqA,O1gJVygW6UVgKCpErmYZfw
0,k1dzukLvkRVY4m1IyhFisA,fLeD_h6uD4yEN2ciI08RiA
0,s4gwGjRZlTzw2UCi23yrlQ,qmDm7guS7TAZTSDFYY2bug
0,gKZcu0TZQRjrhXV4UQFRTw,OlOVRlcEstxKK_6hMjy63A
0,AEISsryhPRCQcePDFontYw,5IFqqWJTaPNoY2ZgRlX73w
0,6LVz9uwaPpYSCMeSATeZwA,fLeD_h6uD4yEN2ciI08RiA
0,ZO1DR-_6pqcCUz4bn7hLuQ,OlOVRlcEstxKK_6hMjy63A
0,CZ7HOlSaTwkasNXykVCWuQ,W6S482dRQ_9nCcLjfv8VNg
0,KoGDCvrrmlkSp4i_LdUIdw,W6S482dRQ_9nCcLjfv8VNg
0,mj_ib5wR-q26-ERRJ6GMnw,5RtAJPXFLTzwALIe1mtNuA
0,-iCWEdAZmHPKfejgwstmzg,uoMWvXch6sWnI9FMsE_-Vg
0,OBzbrYnWZvJ4I2YVg-l6Vw,mtowE4p6gOgyGrHAsMz-rg
0,HPm28IFEOx9U4IK5KooD6w,7O7YHTUB3uqXHsQSLKR0SA
0,Dln65UQjyQjVB3ztkA71Bg,MZW_eTFYFBvHYg5OFqDRCA
0,jR6fNQiyuRtqHWPWdIsBwg,7Ld1DxAhSlGSateku0iqbg
0,zFzJ0UyTVNzhWKBCAw7IBw,A_-Vv5oKZNqxsV69_7E2KQ
0,ddhUJgCAIcZ0_iZlQXssIQ,A_-Vv5oKZNqxsV69_7E2KQ
0,09kIN0IZOjkO38a6JbPPUQ,yDiWYpuzRxcTgSi_O4JZpQ
0,-kJqw8ptJ5ieoTVuHGdCLg,citzbW-2MVEZRNBqpVO-Jw
0,CuKycTo-4k69flfRxNBvYA,XF86J5bJKkmueBL-PmPbcg
0,Q6w526J-USlXGJuS9yaIWA,W6S482dRQ_9nCcLjfv8VNg
0,F4VW4Gj8k38T6Lz3XcL__Q,sKQ0KYon7eT6xEnCpb18aw
0,z2yzTNrP30cHJjwd6FVRlA,s-7Q1GAQmB-Qsm_UwviHVA
0,-ENLRBoXnXi47LR5Meyu2A,psD0qpCK-iENFO9c8hmnkw
0,_MqRyh1B3ASOeTzPPnb_CQ,ixsljpxu56VCTtayIELqUg
0,iEw-UIkE8MH2PM8LUiWGgg,5RtAJPXFLTzwALIe1mtNuA
0,fWn57-J2aYpAD_LSSpOiaQ,LSxmfbgcZLdQ5ai2vf2nmA
0,DfcrexT5qGCI_Emt-cF4WA,W6S482dRQ_9nCcLjfv8VNg
0,-qEB9-7S7VqHxwCDbKZj0w,iXemjTj5TOByT1-cNTSaDw
0,8hIUk_To8ax8pSGZar2bZA,5RtAJPXFLTzwALIe1mtNuA
0,bvvmz7DXY7Hz4Rb0TOiPig,5IFqqWJTaPNoY2ZgRlX73w
0,ssxstq3ZEe02ASu1Fq-LaA,o8JeOB8HTa5HYHg6hfqTHw
0,fWZVkadgW5u8gA89kFHg1w,iJKOUYgigs4VYsWny6AtEA
0,s2XyQjZnUCLhoe5z0UNEwA,LSxmfbgcZLdQ5ai2vf2nmA
0,fUpXRkpp3pl4gMzj2A7pbw,LSxmfbgcZLdQ5ai2vf2nmA
0,dPTVougMrTQXyl3Cb-fRSg,hFa7UxRZgJDQJ3UBhQsu9A
